Gene stable ID,Brain,Colon,Esophagus,Heart,Kidney,Liver,Pancreas,Stomach,Gene type
ENSG00000295972,0.8807847,0.030227687,0.0018843327,0.0012997447,0.010372321,0.0005400178,0.00040481772,0.0007267352,lncRNA
ENSG00000295973,0.02019666,0.0027299665,0.0052949362,0.0067279483,0.006730913,0.02387056,0.045256257,0.010834606,lncRNA
ENSG00000295974,0.065654226,0.10498016,0.10553618,0.10902211,0.09896441,0.042874496,0.057373196,0.06693988,lncRNA
ENSG00000295975,0.13468799,0.119007796,0.12770759,0.05597323,0.12744512,0.06132212,0.039934415,0.09237339,lncRNA
ENSG00000295976,0.016363552,0.018640785,0.019464102,0.0075852005,0.026288705,0.17006883,0.010307068,0.019800695,lncRNA
ENSG00000295977,0.0033517026,0.0024921547,0.0011497845,0.00082232093,0.0007995478,0.00094236527,0.0003419167,0.0031710898,lncRNA
ENSG00000295978,0.0008107288,0.0011294757,0.0012427301,0.00031438662,0.0004165913,0.00035072697,0.00011477604,0.0015164419,lncRNA
ENSG00000295979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lncRNA
ENSG00000295980,0.30751467,0.08313838,0.06696242,0.10376878,0.26336193,0.269003,0.1471497,0.33103266,lncRNA
ENSG00000295981,1.2368581,0.1375027,0.47952846,0.05692233,0.06609581,0.018026121,0.026303755,0.07047986,lncRNA
ENSG00000295982,0.007015552,0.026258243,0.015201443,0.022143483,0.012173296,0.033911616,0.0121573545,0.049331374,lncRNA
ENSG00000295983,0.1540523,0.09001697,0.08677825,0.041863203,0.115708694,0.043797143,0.088944964,0.08229545,lncRNA
ENSG00000295984,0.0033612305,0.009969885,0.012973452,0.093737654,0.0016299651,0.00012395036,0.00056705467,0.0064921835,lncRNA
ENSG00000295985,0.007984193,0.011330328,0.007344701,0.002599804,0.005738496,0.0005854043,0.0015532448,0.0054729963,lncRNA
ENSG00000295986,6.87248e-05,0.00044911675,0.00068604056,4.160022e-05,0.0,0.0,0.00016261719,0.00080861914,lncRNA
ENSG00000295987,0.0051365746,0.007442251,0.0061484417,0.0033229517,0.0030244435,0.004265195,0.0032561459,0.00466376,lncRNA
ENSG00000295988,0.0015134367,0.00089654163,0.0008933111,0.0030520067,0.00051646953,0.0004881099,0.0003921849,0.0006360794,lncRNA
ENSG00000295989,0.0025308547,0.00064660975,0.002197839,0.0059974575,0.0088563915,0.011147049,0.0027119794,0.0005693421,lncRNA
ENSG00000295990,0.0028431944,0.004291862,0.0018913036,0.0023296266,0.0031939305,0.004243291,0.0023259374,0.0036719877,lncRNA
ENSG00000295991,0.09100168,0.0067004105,0.0009316673,0.0009766156,0.0018668086,0.07982863,9.274479e-05,0.000675719,lncRNA
ENSG00000295992,2.3015757,0.13167922,0.12852103,0.004919896,0.025281826,0.0018484398,0.0015424428,0.030550957,lncRNA
ENSG00000295993,0.018775517,0.030320821,0.05012023,0.024280703,0.024905253,0.020049386,0.020513773,0.027122147,lncRNA
ENSG00000295994,0.47496706,0.34697968,0.36777335,0.08719334,0.54917705,0.33287323,0.14491402,0.31759512,lncRNA
