Gene ID,ID,Label,+/-
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
ENSG00000100031,GO:0006749,glutathione metabolic process,+
