




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5114)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of DNA biosynthetic process (GO:2000278)	83	38	20.62	+	1.84	3.34E-05	1.44E-03
microtubule organizing center organization (GO:0031023)	116	53	28.83	+	1.84	1.26E-06	7.20E-05
cell cycle G1/S phase transition (GO:0044843)	81	37	20.13	+	1.84	4.66E-05	1.92E-03
regulation of B cell activation (GO:0050864)	138	63	34.29	+	1.84	9.70E-08	7.02E-06
male meiotic nuclear division (GO:0007140)	57	26	14.16	+	1.84	6.17E-04	1.69E-02
meiotic cell cycle process (GO:1903046)	204	93	50.69	+	1.83	9.77E-11	1.35E-08
G1/S transition of mitotic cell cycle (GO:0000082)	79	36	19.63	+	1.83	6.53E-05	2.57E-03
positive regulation of leukocyte differentiation (GO:1902107)	198	90	49.20	+	1.83	2.56E-10	3.30E-08
DNA-templated DNA replication maintenance of fidelity (GO:0045005)	66	30	16.40	+	1.83	2.79E-04	8.83E-03
pyrimidine nucleotide metabolic process (GO:0006220)	55	25	13.67	+	1.83	8.62E-04	2.22E-02
positive regulation of hemopoiesis (GO:1903708)	198	90	49.20	+	1.83	2.56E-10	3.27E-08
positive regulation of alpha-beta T cell differentiation (GO:0046638)	55	25	13.67	+	1.83	8.62E-04	2.21E-02
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	77	35	19.13	+	1.83	9.19E-05	3.46E-03
protein N-linked glycosylation (GO:0006487)	95	43	23.61	+	1.82	1.37E-05	6.41E-04
regulation of chromosome organization (GO:0033044)	252	114	62.62	+	1.82	1.90E-12	3.59E-10
pyrimidine-containing compound metabolic process (GO:0072527)	73	33	18.14	+	1.82	1.83E-04	6.20E-03
ribonucleoprotein complex biogenesis (GO:0022613)	485	219	120.52	+	1.82	8.73E-23	4.88E-20
regulation of regulatory T cell differentiation (GO:0045589)	51	23	12.67	+	1.81	1.70E-03	3.83E-02
motile cilium assembly (GO:0044458)	89	40	22.12	+	1.81	3.65E-05	1.54E-03
negative regulation of cell cycle phase transition (GO:1901988)	227	102	56.41	+	1.81	3.78E-11	5.61E-09
RNA 3'-end processing (GO:0031123)	98	44	24.35	+	1.81	1.69E-05	7.78E-04
CD4-positive, alpha-beta T cell activation (GO:0035710)	78	35	19.38	+	1.81	1.12E-04	4.05E-03
positive regulation of immunoglobulin production (GO:0002639)	58	26	14.41	+	1.80	1.11E-03	2.69E-02
mitotic DNA integrity checkpoint signaling (GO:0044774)	76	34	18.89	+	1.80	1.55E-04	5.39E-03
mitotic G2/M transition checkpoint (GO:0044818)	56	25	13.92	+	1.80	1.58E-03	3.61E-02
alpha-beta T cell activation involved in immune response (GO:0002287)	65	29	16.15	+	1.80	4.80E-04	1.38E-02
regulation of T cell differentiation (GO:0045580)	204	91	50.69	+	1.80	8.01E-10	9.17E-08
nuclear division (GO:0000280)	330	147	82.00	+	1.79	4.20E-15	1.22E-12
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	63	28	15.66	+	1.79	6.66E-04	1.81E-02
mitotic DNA damage checkpoint signaling (GO:0044773)	72	32	17.89	+	1.79	3.01E-04	9.48E-03
mitotic nuclear division (GO:0140014)	171	76	42.49	+	1.79	2.10E-08	1.72E-06
alpha-beta T cell differentiation (GO:0046632)	90	40	22.36	+	1.79	6.66E-05	2.60E-03
T-helper cell differentiation (GO:0042093)	63	28	15.66	+	1.79	6.66E-04	1.81E-02
positive regulation of lymphocyte activation (GO:0051251)	336	149	83.49	+	1.78	4.41E-15	1.26E-12
regulation of lymphocyte differentiation (GO:0045619)	237	105	58.89	+	1.78	5.89E-11	8.48E-09
RNA modification (GO:0009451)	181	80	44.98	+	1.78	1.17E-08	9.97E-07
T cell differentiation involved in immune response (GO:0002292)	68	30	16.90	+	1.78	5.92E-04	1.64E-02
snRNA metabolic process (GO:0016073)	59	26	14.66	+	1.77	1.30E-03	3.03E-02
positive regulation of leukocyte activation (GO:0002696)	370	163	91.94	+	1.77	5.43E-16	1.75E-13
regulation of leukocyte cell-cell adhesion (GO:1903037)	395	174	98.16	+	1.77	5.16E-17	1.97E-14
positive regulation of mitotic cell cycle phase transition (GO:1901992)	91	40	22.61	+	1.77	7.51E-05	2.88E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	73	32	18.14	+	1.76	3.65E-04	1.10E-02
positive regulation of cell activation (GO:0050867)	388	170	96.42	+	1.76	2.20E-16	7.80E-14
alpha-beta T cell differentiation involved in immune response (GO:0002293)	64	28	15.90	+	1.76	1.17E-03	2.79E-02
positive regulation of cell-cell adhesion (GO:0022409)	335	146	83.25	+	1.75	5.30E-14	1.30E-11
sperm flagellum assembly (GO:0120316)	62	27	15.41	+	1.75	1.66E-03	3.75E-02
chromosome localization (GO:0050000)	115	50	28.58	+	1.75	1.16E-05	5.52E-04
DNA repair (GO:0006281)	530	230	131.70	+	1.75	4.14E-21	2.07E-18
negative regulation of cell cycle process (GO:0010948)	277	120	68.83	+	1.74	1.42E-11	2.38E-09
DNA damage checkpoint signaling (GO:0000077)	102	44	25.35	+	1.74	7.17E-05	2.79E-03
blastocyst development (GO:0001824)	116	50	28.83	+	1.73	1.93E-05	8.73E-04
cell-cell recognition (GO:0009988)	72	31	17.89	+	1.73	8.57E-04	2.21E-02
regulation of immunoglobulin production (GO:0002637)	79	34	19.63	+	1.73	3.75E-04	1.12E-02
positive regulation of nuclear division (GO:0051785)	63	27	15.66	+	1.72	1.86E-03	4.16E-02
double-strand break repair (GO:0006302)	224	96	55.66	+	1.72	3.25E-09	3.11E-07
lymphocyte differentiation (GO:0030098)	297	127	73.80	+	1.72	1.08E-11	1.87E-09
regulation of T cell activation (GO:0050863)	405	173	100.64	+	1.72	2.61E-15	8.06E-13
negative regulation of cell cycle G2/M phase transition (GO:1902750)	75	32	18.64	+	1.72	7.09E-04	1.89E-02
regulation of type II interferon production (GO:0032649)	136	58	33.80	+	1.72	5.48E-06	2.81E-04
positive regulation of myeloid cell differentiation (GO:0045639)	108	46	26.84	+	1.71	4.90E-05	2.01E-03
mitochondrial translation (GO:0032543)	108	46	26.84	+	1.71	4.90E-05	2.00E-03
regulation of DNA replication (GO:0006275)	127	54	31.56	+	1.71	1.20E-05	5.65E-04
DNA metabolic process (GO:0006259)	779	331	193.58	+	1.71	4.49E-28	5.02E-25
regulation of lymphocyte proliferation (GO:0050670)	245	104	60.88	+	1.71	1.52E-09	1.56E-07
protein-RNA complex organization (GO:0071826)	238	101	59.14	+	1.71	2.40E-09	2.32E-07
protein-RNA complex assembly (GO:0022618)	229	97	56.91	+	1.70	7.53E-09	6.64E-07
positive regulation of cell cycle phase transition (GO:1901989)	111	47	27.58	+	1.70	5.74E-05	2.30E-03
regulation of mitotic cell cycle phase transition (GO:1901990)	350	148	86.97	+	1.70	8.16E-13	1.65E-10
female gamete generation (GO:0007292)	168	71	41.75	+	1.70	8.86E-07	5.28E-05
ribosome assembly (GO:0042255)	71	30	17.64	+	1.70	1.35E-03	3.13E-02
regulation of mononuclear cell proliferation (GO:0032944)	247	104	61.38	+	1.69	2.85E-09	2.74E-07
spindle assembly (GO:0051225)	107	45	26.59	+	1.69	1.09E-04	3.98E-03
positive regulation of mitotic cell cycle (GO:0045931)	124	52	30.81	+	1.69	3.70E-05	1.55E-03
organelle fission (GO:0048285)	358	150	88.96	+	1.69	1.02E-12	1.97E-10
regulation of meiotic cell cycle (GO:0051445)	72	30	17.89	+	1.68	1.58E-03	3.60E-02
single fertilization (GO:0007338)	185	77	45.97	+	1.67	5.17E-07	3.24E-05
regulation of T cell proliferation (GO:0042129)	185	77	45.97	+	1.67	5.17E-07	3.23E-05
tRNA metabolic process (GO:0006399)	205	85	50.94	+	1.67	2.12E-07	1.43E-05
response to ionizing radiation (GO:0010212)	140	58	34.79	+	1.67	1.88E-05	8.55E-04
RNA catabolic process (GO:0006401)	220	91	54.67	+	1.66	6.68E-08	4.98E-06
chemokine-mediated signaling pathway (GO:0070098)	80	33	19.88	+	1.66	1.62E-03	3.67E-02
regulation of alpha-beta T cell differentiation (GO:0046637)	80	33	19.88	+	1.66	1.62E-03	3.67E-02
negative regulation of cell cycle (GO:0045786)	354	146	87.97	+	1.66	1.11E-11	1.90E-09
regulation of leukocyte differentiation (GO:1902105)	352	145	87.47	+	1.66	1.51E-11	2.47E-09
mitochondrial respiratory chain complex assembly (GO:0033108)	102	42	25.35	+	1.66	3.11E-04	9.74E-03
cell cycle process (GO:0022402)	908	372	225.63	+	1.65	1.11E-27	1.07E-24
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	105	43	26.09	+	1.65	2.61E-04	8.36E-03
macromolecule methylation (GO:0043414)	132	54	32.80	+	1.65	4.54E-05	1.88E-03
regulation of lymphocyte activation (GO:0051249)	534	218	132.70	+	1.64	2.10E-16	7.65E-14
nucleic acid catabolic process (GO:0141188)	245	100	60.88	+	1.64	3.83E-08	2.96E-06
spindle organization (GO:0007051)	174	71	43.24	+	1.64	3.57E-06	1.90E-04
cilium movement (GO:0003341)	277	113	68.83	+	1.64	4.26E-09	3.95E-07
positive regulation of DNA recombination (GO:0045911)	76	31	18.89	+	1.64	2.08E-03	4.61E-02
leukocyte differentiation (GO:0002521)	442	180	109.83	+	1.64	1.56E-13	3.43E-11
regulation of leukocyte proliferation (GO:0070663)	271	110	67.34	+	1.63	1.02E-08	8.81E-07
cell cycle (GO:0007049)	1006	407	249.98	+	1.63	5.82E-29	8.47E-26
positive regulation of organelle assembly (GO:1902117)	89	36	22.12	+	1.63	1.24E-03	2.92E-02
regulation of cell cycle phase transition (GO:1901987)	463	187	115.05	+	1.63	1.09E-13	2.44E-11
mononuclear cell differentiation (GO:1903131)	384	155	95.42	+	1.62	1.48E-11	2.45E-09
nuclear-transcribed mRNA catabolic process (GO:0000956)	119	48	29.57	+	1.62	2.52E-04	8.15E-03
alpha-beta T cell activation (GO:0046631)	124	50	30.81	+	1.62	1.49E-04	5.20E-03
regulation of mitotic cell cycle (GO:0007346)	518	208	128.72	+	1.62	8.56E-15	2.26E-12
T cell activation (GO:0042110)	344	138	85.48	+	1.61	4.42E-10	5.44E-08
spermatid development (GO:0007286)	247	99	61.38	+	1.61	1.11E-07	7.87E-06
RNA processing (GO:0006396)	904	362	224.64	+	1.61	9.23E-25	5.84E-22
regulation of leukocyte activation (GO:0002694)	604	241	150.09	+	1.61	1.43E-16	5.32E-14
regulation of cell cycle G2/M phase transition (GO:1902749)	118	47	29.32	+	1.60	3.65E-04	1.10E-02
cilium-dependent cell motility (GO:0060285)	239	95	59.39	+	1.60	3.46E-07	2.29E-05
cilium or flagellum-dependent cell motility (GO:0001539)	239	95	59.39	+	1.60	3.46E-07	2.28E-05
regulation of DNA recombination (GO:0000018)	141	56	35.04	+	1.60	1.15E-04	4.13E-03
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	126	50	31.31	+	1.60	2.55E-04	8.17E-03
cilium movement involved in cell motility (GO:0060294)	237	94	58.89	+	1.60	4.61E-07	2.94E-05
oogenesis (GO:0048477)	106	42	26.34	+	1.59	9.53E-04	2.39E-02
cell cycle phase transition (GO:0044770)	154	61	38.27	+	1.59	4.94E-05	2.01E-03
signal transduction in response to DNA damage (GO:0042770)	154	61	38.27	+	1.59	4.94E-05	2.01E-03
methylation (GO:0032259)	230	91	57.15	+	1.59	7.29E-07	4.40E-05
regulation of alpha-beta T cell activation (GO:0046634)	119	47	29.57	+	1.59	4.02E-04	1.19E-02
positive regulation of adaptive immune response (GO:0002821)	132	52	32.80	+	1.59	2.38E-04	7.82E-03
fertilization (GO:0009566)	226	89	56.16	+	1.58	1.28E-06	7.29E-05
DNA damage response (GO:0006974)	831	326	206.50	+	1.58	1.20E-20	5.45E-18
mitotic cell cycle process (GO:1903047)	508	199	126.23	+	1.58	6.24E-13	1.28E-10
mRNA catabolic process (GO:0006402)	141	55	35.04	+	1.57	1.85E-04	6.21E-03
negative regulation of DNA metabolic process (GO:0051053)	136	53	33.80	+	1.57	2.96E-04	9.32E-03
spermatid differentiation (GO:0048515)	257	100	63.86	+	1.57	6.12E-07	3.72E-05
nucleic acid metabolic process (GO:0090304)	2180	847	541.72	+	1.56	5.03E-53	3.66E-49
sperm motility (GO:0097722)	224	87	55.66	+	1.56	3.65E-06	1.93E-04
flagellated sperm motility (GO:0030317)	224	87	55.66	+	1.56	3.65E-06	1.92E-04
membraneless organelle assembly (GO:0140694)	389	151	96.66	+	1.56	1.05E-09	1.17E-07
cell division (GO:0051301)	523	203	129.96	+	1.56	9.39E-13	1.85E-10
lymphocyte activation (GO:0046649)	508	197	126.23	+	1.56	2.12E-12	3.91E-10
DNA biosynthetic process (GO:0071897)	98	38	24.35	+	1.56	2.18E-03	4.74E-02
regulation of hemopoiesis (GO:1903706)	436	169	108.34	+	1.56	1.13E-10	1.52E-08
positive regulation of cell cycle (GO:0045787)	338	131	83.99	+	1.56	1.22E-08	1.03E-06
regulation of DNA metabolic process (GO:0051052)	502	194	124.74	+	1.56	4.81E-12	8.63E-10
mitotic cell cycle (GO:0000278)	585	226	145.37	+	1.55	9.43E-14	2.14E-11
regulation of cell activation (GO:0050865)	663	256	164.75	+	1.55	2.14E-15	6.77E-13
negative regulation of lymphocyte activation (GO:0051250)	184	71	45.72	+	1.55	3.43E-05	1.47E-03
regulatory ncRNA-mediated gene silencing (GO:0031047)	117	45	29.07	+	1.55	1.17E-03	2.81E-02
axoneme assembly (GO:0035082)	107	41	26.59	+	1.54	2.25E-03	4.88E-02
positive regulation of cell cycle process (GO:0090068)	269	103	66.84	+	1.54	1.10E-06	6.38E-05
germ cell development (GO:0007281)	397	152	98.65	+	1.54	2.32E-09	2.27E-07
mitotic cell cycle phase transition (GO:0044772)	142	54	35.29	+	1.53	5.80E-04	1.62E-02
cellular process involved in reproduction in multicellular organism (GO:0022412)	434	165	107.85	+	1.53	9.61E-10	1.07E-07
nucleus organization (GO:0006997)	150	57	37.27	+	1.53	4.01E-04	1.19E-02
sexual reproduction (GO:0019953)	1159	440	288.00	+	1.53	2.84E-24	1.72E-21
liposaccharide metabolic process (GO:1903509)	116	44	28.83	+	1.53	1.69E-03	3.80E-02
immune system development (GO:0002520)	174	66	43.24	+	1.53	1.34E-04	4.70E-03
nucleic acid biosynthetic process (GO:0141187)	1439	545	357.58	+	1.52	6.94E-30	1.26E-26
RNA biosynthetic process (GO:0032774)	1350	510	335.47	+	1.52	1.50E-27	1.36E-24
negative regulation of leukocyte activation (GO:0002695)	212	80	52.68	+	1.52	2.89E-05	1.26E-03
positive regulation of leukocyte mediated immunity (GO:0002705)	154	58	38.27	+	1.52	4.79E-04	1.38E-02
positive regulation of lymphocyte mediated immunity (GO:0002708)	133	50	33.05	+	1.51	1.17E-03	2.80E-02
regulation of adaptive immune response (GO:0002819)	221	83	54.92	+	1.51	2.90E-05	1.26E-03
homeostasis of number of cells (GO:0048872)	333	125	82.75	+	1.51	2.54E-07	1.70E-05
regulation of cell-cell adhesion (GO:0022407)	517	194	128.47	+	1.51	1.17E-10	1.56E-08
myeloid cell homeostasis (GO:0002262)	147	55	36.53	+	1.51	7.34E-04	1.96E-02
leukocyte chemotaxis (GO:0030595)	147	55	36.53	+	1.51	7.34E-04	1.95E-02
positive regulation of DNA metabolic process (GO:0051054)	281	105	69.83	+	1.50	2.77E-06	1.52E-04
RNA splicing, via transesterification reactions (GO:0000375)	277	103	68.83	+	1.50	4.63E-06	2.39E-04
RNA metabolic process (GO:0016070)	1523	566	378.46	+	1.50	1.48E-28	1.80E-25
regulation of double-strand break repair (GO:2000779)	148	55	36.78	+	1.50	7.96E-04	2.08E-02
membrane lipid biosynthetic process (GO:0046467)	148	55	36.78	+	1.50	7.96E-04	2.08E-02
mRNA splicing, via spliceosome (GO:0000398)	272	101	67.59	+	1.49	7.33E-06	3.66E-04
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	272	101	67.59	+	1.49	7.33E-06	3.65E-04
lymphocyte activation involved in immune response (GO:0002285)	159	59	39.51	+	1.49	6.00E-04	1.65E-02
male gamete generation (GO:0048232)	748	277	185.87	+	1.49	5.81E-14	1.41E-11
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	165	61	41.00	+	1.49	5.41E-04	1.53E-02
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	209	77	51.94	+	1.48	1.04E-04	3.85E-03
protein biosynthetic process (GO:0160307)	394	145	97.91	+	1.48	9.93E-08	7.15E-06
translation (GO:0006412)	394	145	97.91	+	1.48	9.93E-08	7.11E-06
cytoplasmic translation (GO:0002181)	136	50	33.80	+	1.48	1.92E-03	4.28E-02
regulation of cell cycle process (GO:0010564)	770	283	191.34	+	1.48	9.43E-14	2.18E-11
regulation of production of molecular mediator of immune response (GO:0002700)	177	65	43.98	+	1.48	4.38E-04	1.29E-02
spermatogenesis (GO:0007283)	730	268	181.40	+	1.48	4.34E-13	9.14E-11
myeloid leukocyte differentiation (GO:0002573)	164	60	40.75	+	1.47	7.53E-04	1.99E-02
transcription initiation at RNA polymerase II promoter (GO:0006367)	175	64	43.49	+	1.47	5.66E-04	1.59E-02
mRNA processing (GO:0006397)	479	175	119.03	+	1.47	8.56E-09	7.45E-07
gamete generation (GO:0007276)	908	330	225.63	+	1.46	3.61E-15	1.09E-12
negative regulation of cell activation (GO:0050866)	234	85	58.15	+	1.46	9.42E-05	3.53E-03
negative regulation of T cell activation (GO:0050868)	149	54	37.03	+	1.46	2.18E-03	4.74E-02
nucleobase-containing compound metabolic process (GO:0006139)	2745	991	682.12	+	1.45	1.65E-45	8.00E-42
regulation of myeloid cell differentiation (GO:0045637)	208	75	51.69	+	1.45	3.56E-04	1.09E-02
regulation of DNA repair (GO:0006282)	239	86	59.39	+	1.45	1.14E-04	4.11E-03
nucleobase-containing compound catabolic process (GO:0034655)	384	138	95.42	+	1.45	1.18E-06	6.83E-05
hemopoiesis (GO:0030097)	721	259	179.16	+	1.45	1.95E-11	3.05E-09
regulation of cell cycle (GO:0051726)	1106	397	274.83	+	1.44	3.85E-17	1.51E-14
nucleobase-containing compound biosynthetic process (GO:0034654)	1736	621	431.39	+	1.44	2.99E-26	2.42E-23
regulation of leukocyte mediated immunity (GO:0002703)	263	94	65.35	+	1.44	7.27E-05	2.80E-03
DNA-templated transcription initiation (GO:0006352)	227	81	56.41	+	1.44	2.63E-04	8.40E-03
leukocyte activation (GO:0045321)	634	226	157.54	+	1.43	7.80E-10	9.00E-08
mRNA metabolic process (GO:0016071)	643	229	159.78	+	1.43	7.47E-10	8.68E-08
regulation of reproductive process (GO:2000241)	191	68	47.46	+	1.43	9.69E-04	2.42E-02
positive regulation of cell adhesion (GO:0045785)	492	175	122.26	+	1.43	8.27E-08	6.07E-06
negative regulation of gene expression, epigenetic (GO:0045814)	225	80	55.91	+	1.43	3.35E-04	1.04E-02
leukocyte migration (GO:0050900)	245	87	60.88	+	1.43	1.86E-04	6.25E-03
positive regulation of cytokine production (GO:0001819)	521	185	129.47	+	1.43	4.40E-08	3.37E-06
regulation of lymphocyte mediated immunity (GO:0002706)	203	72	50.44	+	1.43	7.65E-04	2.01E-02
multicellular organismal reproductive process (GO:0048609)	1056	374	262.41	+	1.43	3.69E-15	1.09E-12
carbohydrate derivative catabolic process (GO:1901136)	209	74	51.94	+	1.42	6.80E-04	1.84E-02
epigenetic regulation of gene expression (GO:0040029)	325	115	80.76	+	1.42	2.35E-05	1.05E-03
membrane lipid metabolic process (GO:0006643)	212	75	52.68	+	1.42	5.66E-04	1.59E-02
B cell activation (GO:0042113)	190	67	47.21	+	1.42	1.29E-03	3.03E-02
reproductive process (GO:0022414)	1626	572	404.05	+	1.42	3.64E-22	1.96E-19
cytokine-mediated signaling pathway (GO:0019221)	402	141	99.89	+	1.41	3.75E-06	1.97E-04
RNA splicing (GO:0008380)	392	137	97.41	+	1.41	6.64E-06	3.34E-04
sensory perception of light stimulus (GO:0050953)	229	80	56.91	+	1.41	6.73E-04	1.82E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	190	66	47.21	+	1.40	2.29E-03	4.96E-02
regulation of cytokine production (GO:0001817)	828	287	205.75	+	1.39	1.25E-10	1.65E-08
visual perception (GO:0007601)	226	78	56.16	+	1.39	1.10E-03	2.67E-02
cell chemotaxis (GO:0060326)	220	75	54.67	+	1.37	2.13E-03	4.67E-02
negative regulation of cytokine production (GO:0001818)	314	107	78.03	+	1.37	2.19E-04	7.25E-03
cell activation (GO:0001775)	766	261	190.35	+	1.37	5.93E-09	5.39E-07
transcription by RNA polymerase II (GO:0006366)	364	124	90.45	+	1.37	8.38E-05	3.16E-03
chromatin organization (GO:0006325)	869	295	215.94	+	1.37	9.24E-10	1.04E-07
developmental process involved in reproduction (GO:0003006)	1094	371	271.85	+	1.36	5.39E-12	9.55E-10
gene expression (GO:0010467)	2582	873	641.61	+	1.36	8.28E-28	8.60E-25
positive regulation of immune effector process (GO:0002699)	267	90	66.35	+	1.36	1.02E-03	2.52E-02
negative regulation of immune system process (GO:0002683)	555	187	137.91	+	1.36	2.09E-06	1.17E-04
myeloid cell differentiation (GO:0030099)	319	107	79.27	+	1.35	5.13E-04	1.46E-02
microtubule cytoskeleton organization (GO:0000226)	600	201	149.10	+	1.35	1.50E-06	8.42E-05
regulation of transferase activity (GO:0051338)	302	101	75.05	+	1.35	7.65E-04	2.01E-02
macromolecule biosynthetic process (GO:0009059)	2970	992	738.03	+	1.34	8.70E-30	1.41E-26
immune response-activating cell surface receptor signaling pathway (GO:0002429)	261	87	64.86	+	1.34	1.90E-03	4.23E-02
positive regulation of immune system process (GO:0002684)	1049	349	260.67	+	1.34	3.16E-10	3.96E-08
response to radiation (GO:0009314)	445	148	110.58	+	1.34	6.15E-05	2.45E-03
regulation of mRNA metabolic process (GO:1903311)	347	114	86.23	+	1.32	7.00E-04	1.88E-02
chromatin remodeling (GO:0006338)	680	223	168.98	+	1.32	2.50E-06	1.38E-04
post-transcriptional regulation of gene expression (GO:0010608)	531	174	131.95	+	1.32	3.57E-05	1.51E-03
negative regulation of gene expression (GO:0010629)	1115	365	277.07	+	1.32	1.23E-09	1.27E-07
regulation of translation (GO:0006417)	372	121	92.44	+	1.31	8.39E-04	2.18E-02
organelle assembly (GO:0070925)	940	305	233.58	+	1.31	8.94E-08	6.50E-06
regulation of phosphorylation (GO:0042325)	438	142	108.84	+	1.30	3.35E-04	1.03E-02
positive regulation of programmed cell death (GO:0043068)	540	175	134.19	+	1.30	6.41E-05	2.53E-03
regulation of immune effector process (GO:0002697)	405	131	100.64	+	1.30	5.96E-04	1.65E-02
glycoprotein metabolic process (GO:0009100)	334	108	83.00	+	1.30	2.12E-03	4.66E-02
microtubule-based process (GO:0007017)	954	308	237.06	+	1.30	1.12E-07	7.97E-06
DNA-templated transcription (GO:0006351)	503	162	124.99	+	1.30	1.64E-04	5.69E-03
positive regulation of apoptotic process (GO:0043065)	516	166	128.22	+	1.29	1.59E-04	5.53E-03
cellular response to stress (GO:0033554)	1685	542	418.71	+	1.29	1.79E-12	3.41E-10
positive regulation of cell development (GO:0010720)	430	138	106.85	+	1.29	6.92E-04	1.86E-02
protein-containing complex assembly (GO:0065003)	1337	429	332.24	+	1.29	6.92E-10	8.25E-08
protein-containing complex organization (GO:0043933)	1493	479	371.00	+	1.29	5.92E-11	8.43E-09
microtubule-based movement (GO:0007018)	502	161	124.74	+	1.29	2.43E-04	7.93E-03
lipid biosynthetic process (GO:0008610)	593	190	147.36	+	1.29	6.08E-05	2.43E-03
positive regulation of immune response (GO:0050778)	693	222	172.21	+	1.29	1.39E-05	6.46E-04
biosynthetic process (GO:0009058)	4033	1289	1002.18	+	1.29	3.74E-30	7.77E-27
macromolecule metabolic process (GO:0043170)	5431	1725	1349.57	+	1.28	1.45E-41	4.21E-38
response to cytokine (GO:0034097)	885	279	219.92	+	1.27	4.62E-06	2.40E-04
cellular response to cytokine stimulus (GO:0071345)	783	246	194.57	+	1.26	2.39E-05	1.06E-03
positive regulation of gene expression (GO:0010628)	1212	379	301.17	+	1.26	1.83E-07	1.25E-05
regulation of immune system process (GO:0002682)	1667	521	414.24	+	1.26	7.20E-10	8.44E-08
response to peptide (GO:1901652)	900	281	223.64	+	1.26	9.67E-06	4.73E-04
positive regulation of organelle organization (GO:0010638)	503	157	124.99	+	1.26	1.17E-03	2.78E-02
regulation of cell adhesion (GO:0030155)	805	251	200.04	+	1.25	3.67E-05	1.54E-03
cellular component biogenesis (GO:0044085)	2822	879	701.25	+	1.25	3.54E-16	1.17E-13
macromolecule catabolic process (GO:0009057)	1146	351	284.77	+	1.23	5.49E-06	2.80E-04
carbohydrate derivative metabolic process (GO:1901135)	899	275	223.40	+	1.23	6.59E-05	2.58E-03
primary metabolic process (GO:0044238)	6771	2066	1682.55	+	1.23	9.38E-39	2.27E-35
regulation of immune response (GO:0050776)	1037	316	257.69	+	1.23	2.56E-05	1.13E-03
positive regulation of cell population proliferation (GO:0008284)	929	283	230.85	+	1.23	7.25E-05	2.80E-03
inflammatory response (GO:0006954)	609	185	151.33	+	1.22	1.66E-03	3.76E-02
metabolic process (GO:0008152)	7657	2315	1902.72	+	1.22	2.21E-42	8.02E-39
organelle organization (GO:0006996)	3146	946	781.76	+	1.21	4.93E-13	1.02E-10
regulation of cell population proliferation (GO:0042127)	1657	498	411.75	+	1.21	5.28E-07	3.28E-05
cellular component assembly (GO:0022607)	2575	760	639.87	+	1.19	8.45E-09	7.40E-07
positive regulation of multicellular organismal process (GO:0051240)	1701	501	422.69	+	1.19	6.34E-06	3.20E-04
cellular component organization or biogenesis (GO:0071840)	6059	1777	1505.62	+	1.18	2.17E-21	1.13E-18
positive regulation of macromolecule biosynthetic process (GO:0010557)	2599	762	645.84	+	1.18	2.99E-08	2.40E-06
positive regulation of biosynthetic process (GO:0009891)	2720	797	675.90	+	1.18	1.40E-08	1.17E-06
regulation of programmed cell death (GO:0043067)	1531	446	380.44	+	1.17	7.25E-05	2.80E-03
regulation of response to stress (GO:0080134)	1484	432	368.76	+	1.17	1.09E-04	3.98E-03
response to stress (GO:0006950)	3631	1050	902.28	+	1.16	7.16E-10	8.46E-08
regulation of apoptotic process (GO:0042981)	1474	426	366.28	+	1.16	2.50E-04	8.10E-03
macromolecule modification (GO:0043412)	1686	487	418.96	+	1.16	8.03E-05	3.05E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3187	916	791.95	+	1.16	5.20E-08	3.94E-06
regulation of intracellular signal transduction (GO:1902531)	2057	591	511.15	+	1.16	2.39E-05	1.07E-03
negative regulation of biosynthetic process (GO:0009890)	2340	672	581.48	+	1.16	6.01E-06	3.05E-04
positive regulation of metabolic process (GO:0009893)	3516	1009	873.70	+	1.15	1.03E-08	8.82E-07
negative regulation of macromolecule biosynthetic process (GO:0010558)	2259	647	561.35	+	1.15	1.28E-05	6.02E-04
defense response (GO:0006952)	1582	453	393.12	+	1.15	3.51E-04	1.07E-02
regulation of organelle organization (GO:0033043)	1191	341	295.96	+	1.15	2.10E-03	4.64E-02
intracellular signal transduction (GO:0035556)	1741	498	432.63	+	1.15	1.84E-04	6.19E-03
cellular component organization (GO:0016043)	5846	1670	1452.69	+	1.15	1.40E-14	3.57E-12
catabolic process (GO:0009056)	2121	604	527.06	+	1.15	5.49E-05	2.21E-03
