




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5102)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
oligosaccharide metabolic process (GO:0009311)	63	32	15.62	+	2.05	1.13E-05	3.86E-04
meiosis I (GO:0007127)	132	67	32.72	+	2.05	1.67E-10	1.43E-08
negative regulation of adaptive immune response (GO:0002820)	75	38	18.59	+	2.04	1.37E-06	6.24E-05
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	77	39	19.09	+	2.04	9.82E-07	4.68E-05
cell surface receptor signaling pathway via JAK-STAT (GO:0007259)	81	41	20.08	+	2.04	7.92E-07	3.86E-05
exocrine system development (GO:0035272)	46	23	11.40	+	2.02	2.27E-04	5.03E-03
regulation of collagen metabolic process (GO:0010712)	40	20	9.92	+	2.02	6.61E-04	1.21E-02
positive regulation of cell cycle G2/M phase transition (GO:1902751)	30	15	7.44	+	2.02	2.69E-03	3.77E-02
ganglioside metabolic process (GO:0001573)	28	14	6.94	+	2.02	3.80E-03	4.97E-02
regulation of interleukin-4 production (GO:0032673)	36	18	8.92	+	2.02	1.40E-03	2.20E-02
regulation of mitotic sister chromatid segregation (GO:0033047)	66	33	16.36	+	2.02	1.03E-05	3.54E-04
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	32	16	7.93	+	2.02	3.07E-03	4.22E-02
icosanoid secretion (GO:0032309)	28	14	6.94	+	2.02	3.80E-03	4.96E-02
CD4-positive, alpha-beta T cell activation (GO:0035710)	78	39	19.34	+	2.02	2.01E-06	8.67E-05
purinergic nucleotide receptor signaling pathway (GO:0035590)	28	14	6.94	+	2.02	3.80E-03	4.96E-02
fatty-acyl-CoA biosynthetic process (GO:0046949)	28	14	6.94	+	2.02	3.80E-03	4.95E-02
protein O-linked glycosylation via N-acetyl-galactosamine (GO:0016266)	38	19	9.42	+	2.02	9.58E-04	1.63E-02
T cell differentiation (GO:0030217)	200	100	49.58	+	2.02	1.22E-14	1.97E-12
regulation of mitotic spindle checkpoint (GO:1903504)	32	16	7.93	+	2.02	3.07E-03	4.21E-02
positive regulation of T cell cytokine production (GO:0002726)	28	14	6.94	+	2.02	3.80E-03	4.95E-02
meiotic cell cycle process (GO:1903046)	204	101	50.57	+	2.00	2.17E-14	3.32E-12
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	281	139	69.66	+	2.00	3.08E-19	1.06E-16
regulation of interleukin-2 production (GO:0032663)	77	38	19.09	+	1.99	3.61E-06	1.43E-04
positive regulation of lymphocyte differentiation (GO:0045621)	138	68	34.21	+	1.99	5.20E-10	4.18E-08
regulation of T cell receptor signaling pathway (GO:0050856)	63	31	15.62	+	1.98	2.77E-05	8.47E-04
regulation of T cell proliferation (GO:0042129)	185	91	45.86	+	1.98	9.08E-13	1.10E-10
meiotic nuclear division (GO:0140013)	181	89	44.87	+	1.98	1.19E-12	1.41E-10
regulation of D-glucose import (GO:0046324)	57	28	14.13	+	1.98	7.79E-05	2.02E-03
regulation of DNA-templated DNA replication (GO:0090329)	51	25	12.64	+	1.98	2.31E-04	5.10E-03
multicellular organismal movement (GO:0050879)	51	25	12.64	+	1.98	2.31E-04	5.10E-03
regulation of bone remodeling (GO:0046850)	51	25	12.64	+	1.98	2.31E-04	5.09E-03
fibroblast growth factor receptor signaling pathway (GO:0008543)	51	25	12.64	+	1.98	2.31E-04	5.08E-03
musculoskeletal movement (GO:0050881)	49	24	12.15	+	1.98	3.37E-04	6.90E-03
positive regulation of B cell proliferation (GO:0030890)	47	23	11.65	+	1.97	4.95E-04	9.43E-03
female meiotic nuclear division (GO:0007143)	45	22	11.16	+	1.97	4.43E-04	8.64E-03
positive regulation of interleukin-10 production (GO:0032733)	45	22	11.16	+	1.97	4.43E-04	8.63E-03
alpha-beta T cell differentiation (GO:0046632)	90	44	22.31	+	1.97	8.92E-07	4.34E-05
regulation of leukocyte apoptotic process (GO:2000106)	86	42	21.32	+	1.97	1.84E-06	8.05E-05
calcium ion import (GO:0070509)	43	21	10.66	+	1.97	6.21E-04	1.14E-02
detection of mechanical stimulus involved in sensory perception (GO:0050974)	39	19	9.67	+	1.97	1.24E-03	2.01E-02
bone growth (GO:0098868)	37	18	9.17	+	1.96	1.77E-03	2.67E-02
positive regulation of D-glucose import (GO:0046326)	37	18	9.17	+	1.96	1.77E-03	2.66E-02
single fertilization (GO:0007338)	185	90	45.86	+	1.96	2.04E-12	2.26E-10
CD4-positive, alpha-beta T cell differentiation (GO:0043367)	72	35	17.85	+	1.96	1.33E-05	4.41E-04
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002823)	72	35	17.85	+	1.96	1.33E-05	4.40E-04
regulation of lymphocyte proliferation (GO:0050670)	245	119	60.74	+	1.96	8.56E-16	1.75E-13
regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	35	17	8.68	+	1.96	2.55E-03	3.62E-02
T cell differentiation in thymus (GO:0033077)	66	32	16.36	+	1.96	3.87E-05	1.11E-03
centriole assembly (GO:0098534)	33	16	8.18	+	1.96	3.68E-03	4.92E-02
regulation of mononuclear cell proliferation (GO:0032944)	247	119	61.23	+	1.94	1.36E-15	2.57E-13
sensory perception of light stimulus (GO:0050953)	229	110	56.77	+	1.94	3.08E-14	4.67E-12
positive regulation of interleukin-2 production (GO:0032743)	50	24	12.40	+	1.94	4.11E-04	8.09E-03
regulation of leukocyte proliferation (GO:0070663)	271	130	67.18	+	1.93	1.11E-16	2.61E-14
positive regulation of T cell activation (GO:0050870)	259	124	64.21	+	1.93	9.20E-16	1.86E-13
visual perception (GO:0007601)	226	108	56.03	+	1.93	7.35E-14	1.03E-11
glycosphingolipid biosynthetic process (GO:0006688)	44	21	10.91	+	1.93	1.23E-03	2.00E-02
negative regulation of chemotaxis (GO:0050922)	44	21	10.91	+	1.93	1.23E-03	1.99E-02
T cell costimulation (GO:0031295)	44	21	10.91	+	1.93	1.23E-03	1.99E-02
alpha-beta T cell activation involved in immune response (GO:0002287)	65	31	16.11	+	1.92	6.80E-05	1.82E-03
regulation of interleukin-10 production (GO:0032653)	65	31	16.11	+	1.92	6.80E-05	1.82E-03
detection of abiotic stimulus (GO:0009582)	151	72	37.43	+	1.92	1.03E-09	7.90E-08
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	63	30	15.62	+	1.92	9.68E-05	2.47E-03
T-helper cell differentiation (GO:0042093)	63	30	15.62	+	1.92	9.68E-05	2.46E-03
female gamete generation (GO:0007292)	168	80	41.65	+	1.92	1.28E-10	1.11E-08
regulation of myotube differentiation (GO:0010830)	42	20	10.41	+	1.92	1.79E-03	2.68E-02
chromosome condensation (GO:0030261)	42	20	10.41	+	1.92	1.79E-03	2.68E-02
lymphocyte differentiation (GO:0030098)	297	141	73.63	+	1.91	2.29E-17	5.94E-15
positive regulation of morphogenesis of an epithelium (GO:1905332)	38	18	9.42	+	1.91	2.35E-03	3.37E-02
negative regulation of lymphocyte differentiation (GO:0045620)	74	35	18.35	+	1.91	3.29E-05	9.75E-04
positive regulation of mitotic cell cycle phase transition (GO:1901992)	91	43	22.56	+	1.91	3.88E-06	1.52E-04
oogenesis (GO:0048477)	106	50	26.28	+	1.90	6.59E-07	3.29E-05
regulation of T cell differentiation (GO:0045580)	204	96	50.57	+	1.90	4.47E-12	4.68E-10
negative regulation of leukocyte migration (GO:0002686)	49	23	12.15	+	1.89	7.46E-04	1.33E-02
negative regulation of T cell differentiation (GO:0045581)	64	30	15.87	+	1.89	1.22E-04	2.94E-03
alpha-beta T cell differentiation involved in immune response (GO:0002293)	64	30	15.87	+	1.89	1.22E-04	2.94E-03
negative regulation of interleukin-6 production (GO:0032715)	47	22	11.65	+	1.89	1.05E-03	1.77E-02
regulation of interleukin-12 production (GO:0032655)	62	29	15.37	+	1.89	1.72E-04	3.95E-03
lymphocyte costimulation (GO:0031294)	45	21	11.16	+	1.88	1.49E-03	2.33E-02
monosaccharide transmembrane transport (GO:0015749)	45	21	11.16	+	1.88	1.49E-03	2.33E-02
positive regulation of D-glucose transmembrane transport (GO:0010828)	45	21	11.16	+	1.88	1.49E-03	2.33E-02
meiotic cell cycle (GO:0051321)	279	130	69.17	+	1.88	2.11E-15	3.93E-13
regulation of B cell proliferation (GO:0030888)	73	34	18.10	+	1.88	5.65E-05	1.54E-03
nuclear chromosome segregation (GO:0098813)	245	114	60.74	+	1.88	1.41E-13	1.94E-11
regulation of cilium movement (GO:0003352)	43	20	10.66	+	1.88	2.13E-03	3.09E-02
fertilization (GO:0009566)	226	105	56.03	+	1.87	1.65E-12	1.85E-10
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	56	26	13.88	+	1.87	4.87E-04	9.31E-03
bone mineralization (GO:0030282)	56	26	13.88	+	1.87	4.87E-04	9.29E-03
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	82	38	20.33	+	1.87	2.69E-05	8.24E-04
regulation of neuroinflammatory response (GO:0150077)	41	19	10.16	+	1.87	3.05E-03	4.19E-02
detection of external stimulus (GO:0009581)	149	69	36.94	+	1.87	1.58E-08	1.03E-06
positive regulation of cytosolic calcium ion concentration (GO:0007204)	162	75	40.16	+	1.87	2.44E-09	1.82E-07
chemokine-mediated signaling pathway (GO:0070098)	80	37	19.83	+	1.87	3.83E-05	1.10E-03
regulation of alpha-beta T cell activation (GO:0046634)	119	55	29.50	+	1.86	3.47E-07	1.85E-05
negative regulation of osteoblast differentiation (GO:0045668)	52	24	12.89	+	1.86	9.96E-04	1.69E-02
negative regulation of reproductive process (GO:2000242)	65	30	16.11	+	1.86	2.32E-04	5.06E-03
positive regulation of cold-induced thermogenesis (GO:0120162)	104	48	25.78	+	1.86	2.03E-06	8.72E-05
spermatid development (GO:0007286)	247	114	61.23	+	1.86	3.24E-13	4.28E-11
lymphocyte proliferation (GO:0046651)	78	36	19.34	+	1.86	5.49E-05	1.51E-03
regulation of leukocyte cell-cell adhesion (GO:1903037)	395	182	97.92	+	1.86	1.95E-20	7.89E-18
cellular response to chemokine (GO:1990869)	89	41	22.06	+	1.86	1.19E-05	4.06E-04
response to chemokine (GO:1990868)	89	41	22.06	+	1.86	1.19E-05	4.05E-04
leukocyte homeostasis (GO:0001776)	113	52	28.01	+	1.86	9.26E-07	4.46E-05
alpha-beta T cell activation (GO:0046631)	124	57	30.74	+	1.85	3.09E-07	1.67E-05
positive regulation of leukocyte differentiation (GO:1902107)	198	91	49.09	+	1.85	8.11E-11	7.23E-09
positive regulation of hemopoiesis (GO:1903708)	198	91	49.09	+	1.85	8.11E-11	7.18E-09
lymphocyte homeostasis (GO:0002260)	85	39	21.07	+	1.85	2.31E-05	7.22E-04
positive regulation of reproductive process (GO:2000243)	85	39	21.07	+	1.85	2.31E-05	7.20E-04
regulation of meiotic cell cycle (GO:0051445)	72	33	17.85	+	1.85	9.90E-05	2.52E-03
sphingolipid biosynthetic process (GO:0030148)	107	49	26.53	+	1.85	2.55E-06	1.06E-04
regulation of smooth muscle contraction (GO:0006940)	59	27	14.63	+	1.85	4.30E-04	8.42E-03
glycosphingolipid metabolic process (GO:0006687)	70	32	17.35	+	1.84	1.38E-04	3.28E-03
sister chromatid segregation (GO:0000819)	151	69	37.43	+	1.84	2.18E-08	1.39E-06
ovulation cycle process (GO:0022602)	46	21	11.40	+	1.84	1.91E-03	2.83E-02
regulation of B cell activation (GO:0050864)	138	63	34.21	+	1.84	9.12E-08	5.36E-06
positive regulation of calcium ion transmembrane transport (GO:1904427)	57	26	14.13	+	1.84	6.01E-04	1.11E-02
T cell differentiation involved in immune response (GO:0002292)	68	31	16.86	+	1.84	1.94E-04	4.39E-03
mitotic sister chromatid segregation (GO:0000070)	147	67	36.44	+	1.84	4.21E-08	2.57E-06
regulation of lymphocyte differentiation (GO:0045619)	237	108	58.75	+	1.84	3.39E-12	3.63E-10
spermatid differentiation (GO:0048515)	257	117	63.71	+	1.84	3.66E-13	4.70E-11
positive regulation of interleukin-8 production (GO:0032757)	66	30	16.36	+	1.83	2.72E-04	5.80E-03
release of sequestered calcium ion into cytosol (GO:0051209)	55	25	13.64	+	1.83	8.43E-04	1.49E-02
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	44	20	10.91	+	1.83	2.67E-03	3.75E-02
photoreceptor cell development (GO:0042461)	55	25	13.64	+	1.83	8.43E-04	1.49E-02
hormone biosynthetic process (GO:0042446)	44	20	10.91	+	1.83	2.67E-03	3.75E-02
regulation of D-glucose transmembrane transport (GO:0010827)	77	35	19.09	+	1.83	8.98E-05	2.31E-03
hexose transmembrane transport (GO:0008645)	42	19	10.41	+	1.82	3.75E-03	4.99E-02
sphingolipid catabolic process (GO:0030149)	42	19	10.41	+	1.82	3.75E-03	4.98E-02
regulation of T cell cytokine production (GO:0002724)	42	19	10.41	+	1.82	3.75E-03	4.98E-02
negative regulation of lymphocyte activation (GO:0051250)	184	83	45.62	+	1.82	1.69E-09	1.28E-07
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051897)	204	92	50.57	+	1.82	2.60E-10	2.13E-08
mitotic spindle assembly (GO:0090307)	51	23	12.64	+	1.82	1.67E-03	2.54E-02
positive regulation of cell-cell adhesion (GO:0022409)	335	151	83.05	+	1.82	4.11E-16	8.92E-14
positive regulation of cell cycle phase transition (GO:1901989)	111	50	27.52	+	1.82	3.95E-06	1.54E-04
chondrocyte differentiation (GO:0002062)	80	36	19.83	+	1.82	7.78E-05	2.03E-03
positive regulation of type II interferon production (GO:0032729)	89	40	22.06	+	1.81	3.53E-05	1.03E-03
regulation of T cell activation (GO:0050863)	405	182	100.40	+	1.81	5.75E-19	1.90E-16
detection of mechanical stimulus (GO:0050982)	58	26	14.38	+	1.81	1.10E-03	1.83E-02
ceramide biosynthetic process (GO:0046513)	58	26	14.38	+	1.81	1.10E-03	1.83E-02
regulation of myoblast differentiation (GO:0045661)	76	34	18.84	+	1.80	1.51E-04	3.49E-03
negative regulation of sequestering of calcium ion (GO:0051283)	56	25	13.88	+	1.80	1.57E-03	2.42E-02
biomineral tissue development (GO:0031214)	101	45	25.04	+	1.80	1.41E-05	4.63E-04
negative regulation of leukocyte activation (GO:0002695)	212	94	52.56	+	1.79	5.82E-10	4.60E-08
mononuclear cell differentiation (GO:1903131)	384	170	95.20	+	1.79	4.96E-17	1.22E-14
carbohydrate transport (GO:0008643)	61	27	15.12	+	1.79	9.08E-04	1.58E-02
nuclear division (GO:0000280)	330	146	81.81	+	1.78	1.07E-14	1.79E-12
regulation of morphogenesis of an epithelium (GO:1905330)	68	30	16.86	+	1.78	5.82E-04	1.08E-02
natural killer cell activation (GO:0030101)	68	30	16.86	+	1.78	5.82E-04	1.08E-02
positive regulation of cell activation (GO:0050867)	388	171	96.19	+	1.78	7.16E-17	1.71E-14
oocyte differentiation (GO:0009994)	59	26	14.63	+	1.78	1.27E-03	2.03E-02
skeletal muscle cell differentiation (GO:0035914)	59	26	14.63	+	1.78	1.27E-03	2.03E-02
positive regulation of leukocyte activation (GO:0002696)	370	163	91.73	+	1.78	5.08E-16	1.08E-13
positive regulation of lymphocyte activation (GO:0051251)	336	148	83.30	+	1.78	1.12E-14	1.84E-12
regulation of tissue remodeling (GO:0034103)	75	33	18.59	+	1.77	2.57E-04	5.51E-03
membrane lipid catabolic process (GO:0046466)	50	22	12.40	+	1.77	2.86E-03	3.98E-02
calcium ion transmembrane import into cytosol (GO:0097553)	91	40	22.56	+	1.77	7.34E-05	1.94E-03
mononuclear cell proliferation (GO:0032943)	82	36	20.33	+	1.77	1.59E-04	3.68E-03
male meiotic nuclear division (GO:0007140)	57	25	14.13	+	1.77	1.78E-03	2.68E-02
cochlea development (GO:0090102)	57	25	14.13	+	1.77	1.78E-03	2.68E-02
T cell homeostasis (GO:0043029)	57	25	14.13	+	1.77	1.78E-03	2.67E-02
regulation of cartilage development (GO:0061035)	73	32	18.10	+	1.77	3.54E-04	7.21E-03
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	178	78	44.13	+	1.77	3.70E-08	2.28E-06
cellular process involved in reproduction in multicellular organism (GO:0022412)	434	190	107.59	+	1.77	3.39E-18	9.67E-16
positive regulation of myeloid leukocyte differentiation (GO:0002763)	64	28	15.87	+	1.76	1.16E-03	1.90E-02
pancreas development (GO:0031016)	71	31	17.60	+	1.76	4.90E-04	9.36E-03
T cell activation (GO:0042110)	344	150	85.28	+	1.76	1.58E-14	2.47E-12
cellular response to fibroblast growth factor stimulus (GO:0044344)	78	34	19.34	+	1.76	3.09E-04	6.47E-03
positive regulation of mitotic cell cycle (GO:0045931)	124	54	30.74	+	1.76	5.10E-06	1.92E-04
lymphocyte migration (GO:0072676)	62	27	15.37	+	1.76	1.64E-03	2.50E-02
leukocyte differentiation (GO:0002521)	442	192	109.58	+	1.75	7.03E-18	1.93E-15
positive regulation of smooth muscle cell proliferation (GO:0048661)	76	33	18.84	+	1.75	4.32E-04	8.44E-03
regulation of chondrocyte differentiation (GO:0032330)	53	23	13.14	+	1.75	3.54E-03	4.76E-02
positive regulation of receptor signaling pathway via STAT (GO:1904894)	53	23	13.14	+	1.75	3.54E-03	4.75E-02
columnar/cuboidal epithelial cell differentiation (GO:0002065)	74	32	18.35	+	1.74	6.04E-04	1.12E-02
sphingolipid metabolic process (GO:0006665)	162	70	40.16	+	1.74	3.21E-07	1.73E-05
positive regulation of cell cycle process (GO:0090068)	269	116	66.69	+	1.74	4.74E-11	4.36E-09
cell cycle G2/M phase transition (GO:0044839)	58	25	14.38	+	1.74	2.12E-03	3.08E-02
positive regulation of chemokine production (GO:0032722)	72	31	17.85	+	1.74	8.46E-04	1.49E-02
odontogenesis of dentin-containing tooth (GO:0042475)	79	34	19.58	+	1.74	3.64E-04	7.29E-03
mitotic spindle organization (GO:0007052)	100	43	24.79	+	1.73	6.40E-05	1.72E-03
negative regulation of T cell activation (GO:0050868)	149	64	36.94	+	1.73	1.30E-06	6.07E-05
regulation of reproductive process (GO:2000241)	191	82	47.35	+	1.73	4.31E-08	2.62E-06
phenol-containing compound metabolic process (GO:0018958)	91	39	22.56	+	1.73	2.07E-04	4.67E-03
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	84	36	20.82	+	1.73	3.16E-04	6.56E-03
ceramide metabolic process (GO:0006672)	98	42	24.30	+	1.73	8.79E-05	2.27E-03
germ cell development (GO:0007281)	397	170	98.42	+	1.73	2.22E-15	4.09E-13
mitotic nuclear division (GO:0140014)	171	73	42.39	+	1.72	2.73E-07	1.50E-05
regulation of mitotic metaphase/anaphase transition (GO:0030071)	101	43	25.04	+	1.72	1.07E-04	2.68E-03
cytokine-mediated signaling pathway (GO:0019221)	402	171	99.66	+	1.72	5.14E-15	9.11E-13
positive regulation of B cell activation (GO:0050871)	87	37	21.57	+	1.72	2.68E-04	5.72E-03
regulation of lymphocyte activation (GO:0051249)	534	227	132.38	+	1.71	1.14E-19	4.37E-17
regulation of cell cycle checkpoint (GO:1901976)	59	25	14.63	+	1.71	3.57E-03	4.80E-02
positive regulation of calcium-mediated signaling (GO:0050850)	59	25	14.63	+	1.71	3.57E-03	4.80E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	104	44	25.78	+	1.71	8.82E-05	2.27E-03
lymphocyte activation (GO:0046649)	508	214	125.94	+	1.70	4.77E-18	1.33E-15
sensory perception of sound (GO:0007605)	169	71	41.90	+	1.69	9.51E-07	4.56E-05
regulation of chromosome segregation (GO:0051983)	143	60	35.45	+	1.69	6.12E-06	2.26E-04
regulation of type II interferon production (GO:0032649)	136	57	33.72	+	1.69	1.37E-05	4.52E-04
regulation of leukocyte activation (GO:0002694)	604	253	149.74	+	1.69	1.16E-20	4.97E-18
negative regulation of cell activation (GO:0050866)	234	98	58.01	+	1.69	1.08E-08	7.28E-07
regulation of interleukin-8 production (GO:0032677)	86	36	21.32	+	1.69	6.06E-04	1.12E-02
G1/S transition of mitotic cell cycle (GO:0000082)	79	33	19.58	+	1.68	9.50E-04	1.62E-02
negative regulation of leukocyte mediated immunity (GO:0002704)	79	33	19.58	+	1.68	9.50E-04	1.62E-02
regulation of chemokine production (GO:0032642)	96	40	23.80	+	1.68	3.13E-04	6.53E-03
leukocyte migration (GO:0050900)	245	102	60.74	+	1.68	6.31E-09	4.50E-07
organelle fission (GO:0048285)	358	149	88.75	+	1.68	2.30E-12	2.53E-10
connective tissue development (GO:0061448)	250	104	61.98	+	1.68	5.52E-09	3.99E-07
regulation of leukocyte differentiation (GO:1902105)	352	146	87.26	+	1.67	5.90E-12	6.08E-10
bone development (GO:0060348)	205	85	50.82	+	1.67	1.40E-07	7.97E-06
positive regulation of osteoblast differentiation (GO:0045669)	70	29	17.35	+	1.67	2.10E-03	3.06E-02
microtubule organizing center organization (GO:0031023)	116	48	28.76	+	1.67	8.56E-05	2.21E-03
regulation of osteoblast differentiation (GO:0045667)	133	55	32.97	+	1.67	2.85E-05	8.65E-04
T cell activation involved in immune response (GO:0002286)	104	43	25.78	+	1.67	2.23E-04	4.95E-03
leukocyte activation (GO:0045321)	634	262	157.18	+	1.67	1.71E-20	7.09E-18
regulation of ossification (GO:0030278)	126	52	31.24	+	1.66	4.52E-05	1.28E-03
chromosome segregation (GO:0007059)	347	143	86.02	+	1.66	1.61E-11	1.54E-09
centrosome cycle (GO:0007098)	102	42	25.29	+	1.66	3.05E-04	6.41E-03
negative regulation of lymphocyte mediated immunity (GO:0002707)	68	28	16.86	+	1.66	2.88E-03	4.00E-02
hair follicle development (GO:0001942)	85	35	21.07	+	1.66	9.27E-04	1.60E-02
response to fibroblast growth factor (GO:0071774)	85	35	21.07	+	1.66	9.27E-04	1.60E-02
B cell differentiation (GO:0030183)	119	49	29.50	+	1.66	1.02E-04	2.57E-03
regulation of adaptive immune response (GO:0002819)	221	91	54.79	+	1.66	7.26E-08	4.32E-06
DNA recombination (GO:0006310)	258	106	63.96	+	1.66	9.73E-09	6.67E-07
mononuclear cell migration (GO:0071674)	117	48	29.01	+	1.65	1.40E-04	3.31E-03
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	283	116	70.16	+	1.65	1.64E-09	1.25E-07
male sex differentiation (GO:0046661)	166	68	41.15	+	1.65	4.85E-06	1.83E-04
gland morphogenesis (GO:0022612)	105	43	26.03	+	1.65	2.53E-04	5.46E-03
negative regulation of leukocyte differentiation (GO:1902106)	127	52	31.48	+	1.65	7.22E-05	1.92E-03
vascular transport (GO:0010232)	88	36	21.82	+	1.65	1.12E-03	1.85E-02
transport across blood-brain barrier (GO:0150104)	88	36	21.82	+	1.65	1.12E-03	1.85E-02
hair cycle process (GO:0022405)	88	36	21.82	+	1.65	1.12E-03	1.85E-02
molting cycle process (GO:0022404)	88	36	21.82	+	1.65	1.12E-03	1.84E-02
lymphocyte activation involved in immune response (GO:0002285)	159	65	39.42	+	1.65	7.64E-06	2.78E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	120	49	29.75	+	1.65	1.12E-04	2.78E-03
positive regulation of cell cycle (GO:0045787)	338	138	83.79	+	1.65	8.09E-11	7.26E-09
positive regulation of inflammatory response (GO:0050729)	169	69	41.90	+	1.65	4.06E-06	1.57E-04
positive regulation of calcium ion transport (GO:0051928)	98	40	24.30	+	1.65	5.71E-04	1.07E-02
leukocyte proliferation (GO:0070661)	98	40	24.30	+	1.65	5.71E-04	1.07E-02
immune system development (GO:0002520)	174	71	43.14	+	1.65	3.45E-06	1.37E-04
aminoglycan metabolic process (GO:0006022)	76	31	18.84	+	1.65	2.04E-03	2.98E-02
cartilage development (GO:0051216)	179	73	44.38	+	1.65	3.05E-06	1.23E-04
negative regulation of immune effector process (GO:0002698)	130	53	32.23	+	1.64	5.90E-05	1.60E-03
cell cycle G1/S phase transition (GO:0044843)	81	33	20.08	+	1.64	1.73E-03	2.61E-02
cell recognition (GO:0008037)	145	59	35.95	+	1.64	2.65E-05	8.15E-04
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	160	65	39.67	+	1.64	1.21E-05	4.08E-04
regulation of cell-cell adhesion (GO:0022407)	517	210	128.17	+	1.64	1.32E-15	2.53E-13
regulation of cell activation (GO:0050865)	663	269	164.36	+	1.64	1.16E-19	4.32E-17
reactive oxygen species metabolic process (GO:0072593)	106	43	26.28	+	1.64	4.00E-04	7.90E-03
regulation of sister chromatid segregation (GO:0033045)	116	47	28.76	+	1.63	2.07E-04	4.66E-03
hematopoietic progenitor cell differentiation (GO:0002244)	94	38	23.30	+	1.63	1.07E-03	1.78E-02
negative regulation of T cell proliferation (GO:0042130)	77	31	19.09	+	1.62	3.24E-03	4.40E-02
female gonad development (GO:0008585)	97	39	24.05	+	1.62	8.51E-04	1.50E-02
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	209	84	51.81	+	1.62	1.01E-06	4.81E-05
leukocyte chemotaxis (GO:0030595)	147	59	36.44	+	1.62	4.62E-05	1.30E-03
cell activation (GO:0001775)	766	307	189.90	+	1.62	2.30E-21	1.08E-18
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	272	109	67.43	+	1.62	2.47E-08	1.55E-06
leukocyte activation involved in immune response (GO:0002366)	225	90	55.78	+	1.61	5.01E-07	2.56E-05
regulation of leukocyte mediated cytotoxicity (GO:0001910)	100	40	24.79	+	1.61	1.01E-03	1.71E-02
regulation of non-canonical NF-kappaB signal transduction (GO:1901222)	95	38	23.55	+	1.61	1.15E-03	1.88E-02
hormone secretion (GO:0046879)	90	36	22.31	+	1.61	1.37E-03	2.15E-02
negative regulation of hemopoiesis (GO:1903707)	130	52	32.23	+	1.61	1.38E-04	3.28E-03
regulation of leukocyte migration (GO:0002685)	223	89	55.28	+	1.61	6.73E-07	3.35E-05
odontogenesis (GO:0042476)	118	47	29.25	+	1.61	3.59E-04	7.27E-03
positive regulation of myeloid cell differentiation (GO:0045639)	108	43	26.77	+	1.61	6.98E-04	1.27E-02
regulation of biomineral tissue development (GO:0070167)	103	41	25.53	+	1.61	8.03E-04	1.42E-02
organic cation transport (GO:0015695)	98	39	24.30	+	1.61	9.59E-04	1.63E-02
regulation of smooth muscle cell proliferation (GO:0048660)	126	50	31.24	+	1.60	2.50E-04	5.40E-03
reproductive process (GO:0022414)	1626	645	403.10	+	1.60	2.51E-43	1.22E-39
development of primary female sexual characteristics (GO:0046545)	101	40	25.04	+	1.60	1.08E-03	1.80E-02
sensory perception of mechanical stimulus (GO:0050954)	197	78	48.84	+	1.60	4.17E-06	1.61E-04
striated muscle cell development (GO:0055002)	139	55	34.46	+	1.60	1.09E-04	2.70E-03
negative regulation of lymphocyte proliferation (GO:0050672)	91	36	22.56	+	1.60	2.11E-03	3.06E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	134	53	33.22	+	1.60	1.74E-04	4.00E-03
cell chemotaxis (GO:0060326)	220	87	54.54	+	1.60	1.31E-06	6.08E-05
cellular response to BMP stimulus (GO:0071773)	86	34	21.32	+	1.59	2.47E-03	3.53E-02
response to BMP (GO:0071772)	86	34	21.32	+	1.59	2.47E-03	3.53E-02
chromosome organization (GO:0051276)	428	169	106.11	+	1.59	1.50E-11	1.45E-09
B cell activation (GO:0042113)	190	75	47.10	+	1.59	9.11E-06	3.20E-04
negative regulation of leukocyte proliferation (GO:0070664)	99	39	24.54	+	1.59	1.46E-03	2.29E-02
