




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5102)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of memory T cell differentiation (GO:0043380)	12	9	2.97	+	3.03	3.64E-04	7.30E-03
amine transport (GO:0015837)	12	9	2.97	+	3.03	3.64E-04	7.29E-03
positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725)	15	11	3.72	+	2.96	1.06E-04	2.65E-03
lysine metabolic process (GO:0006553)	11	8	2.73	+	2.93	1.12E-03	1.85E-02
positive regulation of T cell differentiation in thymus (GO:0033089)	11	8	2.73	+	2.93	1.12E-03	1.85E-02
positive regulation of gamma-delta T cell activation (GO:0046645)	11	8	2.73	+	2.93	1.12E-03	1.85E-02
detection of mechanical stimulus involved in sensory perception of sound (GO:0050910)	18	13	4.46	+	2.91	3.08E-05	9.18E-04
positive regulation of activated T cell proliferation (GO:0042104)	25	18	6.20	+	2.90	9.13E-07	4.41E-05
otic vesicle development (GO:0071599)	14	10	3.47	+	2.88	3.16E-04	6.57E-03
spindle midzone assembly (GO:0051255)	14	10	3.47	+	2.88	3.16E-04	6.56E-03
negative regulation of T cell apoptotic process (GO:0070233)	21	15	5.21	+	2.88	9.06E-06	3.19E-04
regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645)	17	12	4.21	+	2.85	9.08E-05	2.32E-03
lysine catabolic process (GO:0006554)	10	7	2.48	+	2.82	3.32E-03	4.50E-02
positive regulation of T cell receptor signaling pathway (GO:0050862)	20	14	4.96	+	2.82	2.64E-05	8.12E-04
